	n	zI	zG_X_XX	zG_X_XY	zG_Y_XY	zG_Z_ZZ	zG_Z_ZW	zG_W_ZW	wI_star	wG_X_XX	wG_X_XY	wG_Y_XY	wG_Z_ZZ	wG_Z_ZW	wG_W_ZW	
	1.322	0.121785	0.0933838	0.0568028	0.24357	0.150187	0.186768	0	1.75643	1.74426	1.66847	1.65153	1.74791	1.71906	1	
	1.323	0.122071	0.0936295	0.0568831	0.244142	0.150513	0.187259	0	1.75586	1.7437	1.66761	1.65076	1.74734	1.71837	1	
	1.324	0.122356	0.093875	0.056963	0.244713	0.150838	0.18775	0	1.75529	1.74314	1.66676	1.64999	1.74677	1.71768	1	
	1.325	0.122642	0.0941202	0.0570426	0.245283	0.151163	0.18824	0	1.75472	1.74257	1.6659	1.64922	1.7462	1.71699	1	
	1.326	0.122926	0.0943652	0.0571218	0.245852	0.151487	0.18873	0	1.75415	1.74201	1.66504	1.64845	1.74563	1.7163	1	
	1.327	0.12321	0.0946099	0.0572007	0.24642	0.151811	0.18922	0	1.75358	1.74145	1.66419	1.64768	1.74506	1.71561	1	
	1.328	0.123494	0.0948544	0.0572792	0.246988	0.152134	0.189709	0	1.75301	1.74089	1.66334	1.64692	1.7445	1.71492	1	
	1.329	0.123777	0.0950986	0.0573574	0.247555	0.152456	0.190197	0	1.75245	1.74033	1.66249	1.64615	1.74393	1.71424	1	
	1.33	0.12406	0.0953425	0.0574353	0.24812	0.152778	0.190685	0	1.75188	1.73978	1.66164	1.64539	1.74337	1.71355	1	
	1.331	0.124343	0.0955862	0.0575128	0.248685	0.153099	0.191172	0	1.75131	1.73922	1.66079	1.64463	1.7428	1.71287	1	
	1.332	0.124625	0.0958297	0.0575899	0.249249	0.15342	0.191659	0	1.75075	1.73866	1.65994	1.64387	1.74224	1.71218	1	
	1.333	0.124906	0.0960728	0.0576668	0.249812	0.15374	0.192146	0	1.75019	1.73811	1.65909	1.64311	1.74168	1.7115	1	
	1.334	0.125187	0.0963158	0.0577433	0.250375	0.154059	0.192632	0	1.74963	1.73756	1.65825	1.64235	1.74111	1.71082	1	
	1.335	0.125468	0.0965584	0.0578194	0.250936	0.154378	0.193117	0	1.74906	1.737	1.6574	1.6416	1.74055	1.71014	1	
	1.336	0.125749	0.0968009	0.0578953	0.251497	0.154696	0.193602	0	1.7485	1.73645	1.65656	1.64084	1.73999	1.70946	1	
	1.337	0.126028	0.097043	0.0579708	0.252057	0.155014	0.194086	0	1.74794	1.7359	1.65571	1.64009	1.73943	1.70878	1	
	1.338	0.126308	0.097285	0.0580459	0.252616	0.155331	0.19457	0	1.74738	1.73535	1.65487	1.63934	1.73888	1.70811	1	
	1.339	0.126587	0.0975266	0.0581208	0.253174	0.155647	0.195053	0	1.74683	1.7348	1.65403	1.63859	1.73832	1.70743	1	
	1.34	0.126866	0.097768	0.0581953	0.253731	0.155963	0.195536	0	1.74627	1.73425	1.65319	1.63784	1.73776	1.70675	1	
	1.341	0.127144	0.0980092	0.0582694	0.254288	0.156279	0.196018	0	1.74571	1.7337	1.65236	1.63709	1.73721	1.70608	1	
	1.342	0.127422	0.0982501	0.0583433	0.254844	0.156593	0.1965	0	1.74516	1.73316	1.65152	1.63634	1.73665	1.7054	1	
	1.343	0.127699	0.0984908	0.0584168	0.255398	0.156908	0.196982	0	1.7446	1.73261	1.65068	1.6356	1.7361	1.70473	1	
	1.344	0.127976	0.0987312	0.05849	0.255952	0.157221	0.197462	0	1.74405	1.73207	1.64985	1.63485	1.73555	1.70406	1	
	1.345	0.128253	0.0989713	0.0585629	0.256506	0.157534	0.197943	0	1.74349	1.73152	1.64902	1.63411	1.735	1.70339	1	
	1.346	0.128529	0.0992112	0.0586355	0.257058	0.157847	0.198422	0	1.74294	1.73098	1.64818	1.63337	1.73445	1.70272	1	
	1.347	0.128805	0.0994509	0.0587077	0.25761	0.158159	0.198902	0	1.74239	1.73044	1.64735	1.63263	1.7339	1.70205	1	
	1.348	0.12908	0.0996903	0.0587797	0.25816	0.15847	0.199381	0	1.74184	1.72989	1.64652	1.63189	1.73335	1.70138	1	
	1.349	0.129355	0.0999294	0.0588513	0.25871	0.158781	0.199859	0	1.74129	1.72935	1.64569	1.63115	1.7328	1.70071	1	
	1.35	0.12963	0.100168	0.0589226	0.259259	0.159091	0.200337	0	1.74074	1.72881	1.64487	1.63042	1.73225	1.70005	1	
	1.351	0.129904	0.100407	0.0589935	0.259808	0.159401	0.200814	0	1.74019	1.72827	1.64404	1.62968	1.7317	1.69938	1	
	1.352	0.130178	0.100645	0.0590642	0.260355	0.15971	0.201291	0	1.73964	1.72774	1.64322	1.62895	1.73116	1.69872	1	
	1.353	0.130451	0.100884	0.0591346	0.260902	0.160018	0.201767	0	1.7391	1.7272	1.64239	1.62822	1.73061	1.69805	1	
	1.354	0.130724	0.101121	0.0592046	0.261448	0.160326	0.202243	0	1.73855	1.72666	1.64157	1.62749	1.73007	1.69739	1	
	1.355	0.130996	0.101359	0.0592743	0.261993	0.160633	0.202718	0	1.73801	1.72613	1.64075	1.62676	1.72953	1.69673	1	
	1.356	0.131268	0.101597	0.0593438	0.262537	0.16094	0.203193	0	1.73746	1.72559	1.63993	1.62603	1.72898	1.69607	1	
	1.357	0.13154	0.101834	0.0594129	0.26308	0.161247	0.203667	0	1.73692	1.72506	1.63911	1.6253	1.72844	1.69541	1	
	1.358	0.131811	0.102071	0.0594817	0.263623	0.161552	0.204141	0	1.73638	1.72452	1.63829	1.62458	1.7279	1.69475	1	
	1.359	0.132082	0.102307	0.0595502	0.264165	0.161858	0.204615	0	1.73584	1.72399	1.63747	1.62385	1.72736	1.69409	1	
	1.36	0.132353	0.102544	0.0596184	0.264706	0.162162	0.205087	0	1.73529	1.72346	1.63665	1.62313	1.72682	1.69343	1	
	1.361	0.132623	0.10278	0.0596864	0.265246	0.162466	0.20556	0	1.73475	1.72293	1.63584	1.62241	1.72629	1.69277	1	
	1.362	0.132893	0.103016	0.059754	0.265786	0.16277	0.206032	0	1.73421	1.7224	1.63503	1.62169	1.72575	1.69212	1	
	1.363	0.133162	0.103252	0.0598213	0.266324	0.163073	0.206503	0	1.73368	1.72187	1.63421	1.62097	1.72521	1.69146	1	
	1.364	0.133431	0.103487	0.0598883	0.266862	0.163375	0.206974	0	1.73314	1.72134	1.6334	1.62025	1.72468	1.69081	1	
	1.365	0.1337	0.103722	0.059955	0.267399	0.163677	0.207444	0	1.7326	1.72082	1.63259	1.61954	1.72414	1.69015	1	
	1.366	0.133968	0.103957	0.0600214	0.267936	0.163978	0.207914	0	1.73206	1.72029	1.63178	1.61882	1.72361	1.6895	1	
	1.367	0.134236	0.104192	0.0600875	0.268471	0.164279	0.208384	0	1.73153	1.71976	1.63097	1.61811	1.72308	1.68885	1	
	1.368	0.134503	0.104426	0.0601534	0.269006	0.16458	0.208852	0	1.73099	1.71924	1.63017	1.61739	1.72254	1.6882	1	
	1.369	0.13477	0.10466	0.0602189	0.26954	0.164879	0.209321	0	1.73046	1.71872	1.62936	1.61668	1.72201	1.68755	1	
	1.37	0.135036	0.104894	0.0602842	0.270073	0.165179	0.209789	0	1.72993	1.71819	1.62856	1.61597	1.72148	1.6869	1	
	1.371	0.135303	0.105128	0.0603491	0.270605	0.165477	0.210256	0	1.72939	1.71767	1.62775	1.61526	1.72095	1.68625	1	
	1.372	0.135569	0.105362	0.0604138	0.271137	0.165775	0.210723	0	1.72886	1.71715	1.62695	1.61456	1.72042	1.68561	1	
